quando                  | quem   | balcao | o_que                            | canal_criado/usado  
---------------------------------------------------------------------------------------------------
Wed May 27 13:41:48 2015| Balcao | 1      |           Criada MemPartilhada | -         
Wed May 27 13:41:48 2015| Balcao | 1      |          FIFO do Balcao Criado | fb_2909   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2917   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2917   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2918   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2916   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2919   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2919   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2916   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2918   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2915   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2914   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2920   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2914   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2921   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2922   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2923   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2915   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2920   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2924   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2925   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2923   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2922   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2921   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2926   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2925   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2924   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2926   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2927   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2928   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2930   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2913   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2929   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2931   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2932   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2933   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2934   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2935   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2928   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2927   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2936   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2937   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2938   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2939   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2940   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2941   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2942   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2943   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2944   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2955   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2956   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2954   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2953   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2957   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2934   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2933   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2935   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2932   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2931   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2929   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2913   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2930   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2961   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2958   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2959   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2960   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2962   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2952   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2963   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2964   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2951   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2965   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2942   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2941   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2943   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2940   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2944   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2955   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2939   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2956   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2954   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2938   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2953   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2957   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2961   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2958   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2959   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2937   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2936   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2965   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2951   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2964   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2963   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2952   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2962   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2960   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2966   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2967   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2968   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2969   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2970   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2971   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2972   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2966   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2973   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2974   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2975   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2972   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2971   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2970   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2969   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2968   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2967   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2975   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2974   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2973   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2976   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2977   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2978   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2979   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2980   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2981   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2982   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2983   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2984   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2985   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2986   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2978   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2977   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2987   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2988   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2989   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2990   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2991   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_2992   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3016   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2976   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2983   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2984   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2985   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2982   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2986   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2981   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2980   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2979   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3012   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3011   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3010   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3016   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2992   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2991   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2990   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2989   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2988   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_2987   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3018   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3019   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3020   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3021   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3010   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3011   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3012   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3017   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3021   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3020   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3019   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3018   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3017   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3022   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3023   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3087   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3088   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3086   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3089   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3085   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3091   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3093   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3023   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3022   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3094   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3092   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3095   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3096   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3097   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3101   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3098   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3099   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3100   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3093   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3091   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3085   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3089   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3086   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3088   
Wed May 27 13:41:50 2015| Cliente| 1      |       Cliente pede Atendimento | fc_3102   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3087   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3101   
Wed May 27 13:41:50 2015| Balcao | 1      |     Balcao começa Atendimento | fc_3098   
